timestamp,venue,trade_id,trader,venue_account,instrument_type,symbol,side,quantity,price,fee,fee_asset
2026-08-01T18:20:47Z,BYBIT,T00093,TRADER_B,TRADER_B_BYBIT,FUTURES,SOLUSDT,SELL,5,157.855,0.34961130,USDT
2026-08-01T06:15:02Z,BYBIT,T00410,TRADER_D,TRADER_D_BYBIT,FUTURES,XRPUSDT,BUY,250,0.62317,0.04580724,USDT
2026-08-01T06:55:14Z,OKX,T00656,TRADER_C,TRADER_C_OKX,FUTURES,XRPUSDT,BUY,500,0.62429,0.14690698,USDT
2026-08-01T21:57:18Z,BINANCE,T00633,TRADER_D,TRADER_D_BINANCE,FUTURES,XRPUSDT,BUY,250,0.62456,0.00004364,BNB
2026-08-01T04:57:00Z,OKX,T00267,TRADER_C,TRADER_C_OKX,FUTURES,SOLUSDT,SELL,5,156.425,0.17350644,USDT
2026-08-01T00:15:27Z,BYBIT,T00205,TRADER_A,TRADER_A_BYBIT,FUTURES,SOLUSDT,SELL,15,155.163,0.00066487,BNB
2026-08-01T07:46:52Z,BINANCE,T00651,TRADER_D,TRADER_D_BINANCE,FUTURES,XRPUSDT,SELL,1500,0.62678,0.41103780,USDT
2026-08-01T01:42:00Z,BYBIT,T00605,TRADER_A,TRADER_A_BYBIT,FUTURES,SOLUSDT,BUY,15,156.296,0.79670382,USDT
2026-08-01T21:49:15Z,BINANCE,T00001,TRADER_A,TRADER_A_BINANCE,FUTURES,XRPUSDT,BUY,1250,0.62314,0.15597544,USDT
2026-08-01T07:46:56Z,BYBIT,T00596,TRADER_A,TRADER_A_BYBIT,FUTURES,SOLUSDT,SELL,110,156.21,0.00619138,BNB
2026-08-01T19:31:38Z,BINANCE,T00428,TRADER_A,TRADER_A_BINANCE,FUTURES,ETHUSDT,SELL,0.75,3130.06,0.86752995,USDT
2026-08-01T01:41:14Z,BINANCE,T00695,TRADER_C,TRADER_C_BINANCE,FUTURES,SOLUSDT,SELL,25,156.228,0.00235520,BNB
2026-08-01T09:18:24Z,BINANCE,T00228,TRADER_A,TRADER_A_BINANCE,FUTURES,XRPUSDT,SELL,1250,0.62742,0.26285720,USDT
2026-08-01T15:27:55Z,BYBIT,T00252,TRADER_D,TRADER_D_BYBIT,FUTURES,XRPUSDT,BUY,1000,0.62553,0.20839080,USDT
2026-08-01T19:16:52Z,OKX,T00167,TRADER_C,TRADER_C_OKX,FUTURES,XRPUSDT,BUY,500,0.62752,0.08546406,USDT
